id,word,description,meaning,pronunciation,lesson,level,example
684,わあ、すごい ひとですね。,NULL,"Ôi, (người) đông quá nhỉ!",NULL,12,NULL,NULL
685,つかれました。,NULL,Tôi mệt rồi.,NULL,12,NULL,NULL
686,ぎおんまつり,NULL,Lễ hội Gi-ôn (lễ hội nổi tiếng nhất ở Kyoto),NULL,12,NULL,NULL
687,ホンコン,NULL,Hồng Kông (香港),NULL,12,NULL,NULL
688,シンガポール,NULL,Singapore,NULL,12,NULL,NULL
689,ABC ストア,NULL,tên siêu thị giả định,NULL,12,NULL,NULL
690,ジャパン,NULL,tên siêu thị giả định,NULL,12,NULL,NULL
691,しけん,NULL,"kỳ thi, bài thi",NULL,12,NULL,NULL
692,すごいですね。,NULL,Ghê quá nhỉ./Hay quá nhỉ.,NULL,12,NULL,NULL
693,でも,NULL,nhưng,NULL,12,NULL,NULL
694,まいにちや,NULL,tên một siêu thị (giả tưởng),NULL,12,NULL,NULL
695,あそびます,NULL,chơi,NULL,13,NULL,NULL
696,およぎます,NULL,bơi,NULL,13,NULL,NULL
697,むかえます,NULL,đón,NULL,13,NULL,NULL
698,つかれます,NULL,mệt (khi nói trạng thái đã mệt rồi thì dùng つかれました),NULL,13,NULL,NULL
699,けっこんします,NULL,"kết hôn, lập gia đình, cưới",NULL,13,NULL,NULL
700,かいものします,NULL,"mua sắm, mua hàng",NULL,13,NULL,NULL
701,しょくじします,NULL,"ăn cơm, dùng bữa",NULL,13,NULL,NULL
702,さんぽします［こうえんを～］,NULL,đi dạo [ở công viên],NULL,13,NULL,NULL
703,たいへん［な］,NULL,"vát vả, khó khăn, khổ",NULL,13,NULL,NULL
704,ほしい,NULL,muốn có,NULL,13,NULL,NULL
705,ひろい,NULL,rộng,NULL,13,NULL,NULL
706,せまい,NULL,"chật, hẹp",NULL,13,NULL,NULL
707,プール,NULL,bể bơi,NULL,13,NULL,NULL
708,かわ,NULL,sông,NULL,13,NULL,NULL
709,びじゅつ,NULL,mỹ thuật,NULL,13,NULL,NULL
710,つり,NULL,việc câu cá (～を します : câu cá),NULL,13,NULL,NULL
711,スキー,NULL,việc trượt tuyết (～を します : trượt tuyết),NULL,13,NULL,NULL
712,しゅうまつ,NULL,cuối tuần,NULL,13,NULL,NULL
713,［お］しょうがつ,NULL,Tết,NULL,13,NULL,NULL
714,～ごろ,NULL,khoảng ～ (dùng cho thời gian),NULL,13,NULL,NULL
715,なにか,NULL,cái gì đó,NULL,13,NULL,NULL
716,どこか,NULL,"đâu đó, chỗ nào đó",NULL,13,NULL,NULL
816,つかいます,NULL,"dùng, sử dụng",NULL,15,NULL,NULL
717,のどが かわきます,NULL,khát (khi nói trạng thái đang khát thì dùng のどが かわきました),NULL,13,NULL,NULL
718,おなかが すきます,NULL,đói (khi nói trạng thái đang đói thì dùng おなかが すきました),NULL,13,NULL,NULL
719,そう しましょう。,NULL,Nhất trí./Hãy làm vậy đi. (nói khi đồng ý với đề xuất của ai),NULL,13,NULL,NULL
720,ごちゅうもんは？,NULL,Anh/Chị dùng món gì ạ?,NULL,13,NULL,NULL
721,ていしょく,NULL,"cơm suất, cơm phần",NULL,13,NULL,NULL
722,ぎゅうどん,NULL,món cơm với thịt bò ở trên,NULL,13,NULL,NULL
723,［しょうしょう］おまち ください。,NULL,Xin anh/chị vui lòng đợi [một chút],NULL,13,NULL,NULL
724,～で ございます。,NULL,(cách nói lịch sự của です),NULL,13,NULL,NULL
725,べつべつに,NULL,"riêng, riêng ra",NULL,13,NULL,NULL
726,アキックス,NULL,tên công ty giả định,NULL,13,NULL,NULL
727,おはようテレビ,NULL,tên chương trình truyền hình giả định,NULL,13,NULL,NULL
728,だします［てがみを～］,NULL,gửi (thư),NULL,13,NULL,NULL
729,はいります［きっさてんに～］,NULL,vào [quán giải khát],NULL,13,NULL,NULL
730,でます［きっさてんを～］,NULL,"ra, ra khỏi [quán giả khát]",NULL,13,NULL,NULL
731,さびしい,NULL,"buồn, cô đơn",NULL,13,NULL,NULL
732,しやくしょ,NULL,"văn phòng hành chính quận, thành phố",NULL,13,NULL,NULL
733,けいざい,NULL,kinh tế,NULL,13,NULL,NULL
734,かいぎ,NULL,"họp, cuộc họp (～を します : họp, tổ chức cuộc họp)",NULL,13,NULL,NULL
735,とうろく,NULL,việc đăng ký (～を します : đăng ký),NULL,13,NULL,NULL
736,おなかが いっぱいです。,NULL,(Tôi) no rồi.,NULL,13,NULL,NULL
737,そうですね。,NULL,Đúng thế. (câu nói khi muốn tỏ thái độ tán thành với người cùng nói chuyện),NULL,13,NULL,NULL
738,ロシア,NULL,Nga,NULL,13,NULL,NULL
739,つるや,NULL,tên một nhà hàng (giả tưởng),NULL,13,NULL,NULL
740,つけます,NULL,bật,NULL,14,NULL,NULL
741,けします,NULL,tắt,NULL,14,NULL,NULL
742,あけます,NULL,mở,NULL,14,NULL,NULL
743,しめます,NULL,"đóng (cửa, cửa sổ)",NULL,14,NULL,NULL
744,いそぎます,NULL,"vội, gấp",NULL,14,NULL,NULL
745,まちます,NULL,"đợi, chờ",NULL,14,NULL,NULL
746,もちます,NULL,"mang, cầm",NULL,14,NULL,NULL
747,とります,NULL,"lấy, chuyển",NULL,14,NULL,NULL
748,てつだいます,NULL,giúp (làm việc gì),NULL,14,NULL,NULL
749,よびます,NULL,gọi,NULL,14,NULL,NULL
750,はなします,NULL,"nói, nói chuyện",NULL,14,NULL,NULL
751,つかいます,NULL,"dùng, sử dụng",NULL,14,NULL,NULL
752,とめます,NULL,"dừng, đỗ",NULL,14,NULL,NULL
753,みせます,NULL,"cho xem, trình",NULL,14,NULL,NULL
754,おしえます［じゅうしょを～］,NULL,"nói, cho biết [địa chỉ]",NULL,14,NULL,NULL
755,すわります,NULL,ngồi,NULL,14,NULL,NULL
756,たちます,NULL,đứng,NULL,14,NULL,NULL
757,はいります［きっさてんに～］,NULL,vào [quán giải khát],NULL,14,NULL,NULL
758,でます［きっさてんを～］,NULL,"ra, ra khỏi [quán giải khát]",NULL,14,NULL,NULL
759,ふります［あめが～］,NULL,mưa,NULL,14,NULL,NULL
760,コピーします,NULL,"copy, phô-tô",NULL,14,NULL,NULL
761,でんき,NULL,"điện, đèn điện",NULL,14,NULL,NULL
762,エアコン,NULL,máy điều hòa (nhiệt độ),NULL,14,NULL,NULL
763,パスポート,NULL,hộ chiếu,NULL,14,NULL,NULL
764,なまえ,NULL,tên,NULL,14,NULL,NULL
765,じゅうしょ,NULL,địa chỉ,NULL,14,NULL,NULL
766,ちず,NULL,bản đồ,NULL,14,NULL,NULL
767,しお,NULL,muối,NULL,14,NULL,NULL
768,さとう,NULL,đường,NULL,14,NULL,NULL
769,もんだい,NULL,"câu hỏi, vấn đề",NULL,14,NULL,NULL
770,こたえ,NULL,câu trả lời,NULL,14,NULL,NULL
771,よみかた,NULL,cách đọc,NULL,14,NULL,NULL
772,～かた,NULL,cách ～,NULL,14,NULL,NULL
773,まっすぐ,NULL,thẳng,NULL,14,NULL,NULL
774,ゆっくり,NULL,"chậm, thong thả, thoải mái",NULL,14,NULL,NULL
775,すぐ,NULL,"ngay, lập tức",NULL,14,NULL,NULL
776,また,NULL,lại,NULL,14,NULL,NULL
777,あとで,NULL,sau,NULL,14,NULL,NULL
778,もう すこし,NULL,thêm một chút nữa,NULL,14,NULL,NULL
779,もう ～,NULL,thêm ～,NULL,14,NULL,NULL
780,さあ,NULL,thôi/nào (dùng để thúc giục hoặc khuyến khích ai đó làm gì),NULL,14,NULL,NULL
781,あれ？,NULL,"Ôi! (câu cảm thán khi phát hiện hoặc thấy cái gì đó lạ, hoặc bất ngờ)",NULL,14,NULL,NULL
782,しんごうを みぎへ まがって ください。,NULL,Anh/Chị hãy rẽ phải ở chỗ đèn tín hiệu.,NULL,14,NULL,NULL
783,これで おねがいします。,NULL,Gửi anh tiền này.,NULL,14,NULL,NULL
784,おつり,NULL,"tiền thừa, tiền thối lại",NULL,14,NULL,NULL
785,みどり ちょう,NULL,tên thành phố giả định,NULL,14,NULL,NULL
786,まがります［みぎへ～］,NULL,"rẽ, quẹo [phải]",NULL,14,NULL,NULL
787,はじめます,NULL,bắt đầu,NULL,14,NULL,NULL
788,いいですよ。,NULL,Được chứ./ Được ạ.,NULL,14,NULL,NULL
789,うめだ,NULL,tên một địa phương ở Osaka,NULL,14,NULL,NULL
790,おきます,NULL,"đặt, để",NULL,15,NULL,NULL
791,つくります,NULL,"làm, chế tạo, sản xuất",NULL,15,NULL,NULL
792,うります,NULL,bán,NULL,15,NULL,NULL
793,しります,NULL,biết,NULL,15,NULL,NULL
794,すみます,NULL,"sống, ở",NULL,15,NULL,NULL
795,けんきゅうします,NULL,nghiên cứu,NULL,15,NULL,NULL
796,しりょう,NULL,"tài liệu, tư liệu",NULL,15,NULL,NULL
797,カタログ,NULL,ca-ta-lô,NULL,15,NULL,NULL
798,じこくひょう,NULL,bảng giờ tàu chạy,NULL,15,NULL,NULL
799,ふく,NULL,quần áo,NULL,15,NULL,NULL
800,せいひん,NULL,sản phẩm,NULL,15,NULL,NULL
801,ソフト,NULL,phần mềm,NULL,15,NULL,NULL
802,でんしじしょ,NULL,kim từ điển,NULL,15,NULL,NULL
803,けいざい,NULL,kinh tế,NULL,15,NULL,NULL
804,しやくしょ,NULL,tòa thị chính,NULL,15,NULL,NULL
805,こうこう,NULL,"trường trung học phổ thông, trường cấp 3",NULL,15,NULL,NULL
806,はいしゃ,NULL,nha sĩ,NULL,15,NULL,NULL
807,どくしん,NULL,độc thân,NULL,15,NULL,NULL
808,すみません,NULL,xin lỗi,NULL,15,NULL,NULL
809,みなさん,NULL,"các anh chị, các ông bà, ác bạn, quý vị",NULL,15,NULL,NULL
810,おもいだします,NULL,"nhớ lại, hồi tưởng lại",NULL,15,NULL,NULL
811,いらっしゃいます,NULL,(kính ngữ của います),NULL,15,NULL,NULL
812,にっぽんばし,NULL,tên khu phố mua sắm ở Osaka,NULL,15,NULL,NULL
813,みんなの インタビュー,NULL,tên chương trình truyền hình giả định,NULL,15,NULL,NULL
814,たちます,NULL,đứng,NULL,15,NULL,NULL
815,すわります,NULL,ngồi,NULL,15,NULL,NULL
817,しって います,NULL,biết,NULL,15,NULL,NULL
818,すんで います［おおさかに～］,NULL,sống [ở Osaka],NULL,15,NULL,NULL
819,せんもん,NULL,chuyên môn,NULL,15,NULL,NULL
820,とこや,NULL,hiệu cắt tóc,NULL,15,NULL,NULL
821,プレイガイド,NULL,quầy bán vé (trong nhà hát),NULL,15,NULL,NULL
822,とくに,NULL,đặc biệt,NULL,15,NULL,NULL
823,ごかぞく,NULL,gia đình (dùng cho người khác),NULL,15,NULL,NULL
824,のります［でんしゃに～］,NULL,"đi, lên [tàu]",NULL,16,NULL,NULL
825,おります［でんしゃを～］,NULL,xuống [tàu],NULL,16,NULL,NULL
826,のりかえます,NULL,"chuyển, đổi (tàu)",NULL,16,NULL,NULL
827,あびます［シャワーを～］,NULL,tắm [vòi hoa sen],NULL,16,NULL,NULL
828,いれます,NULL,"cho vào, bỏ vào",NULL,16,NULL,NULL
829,だします,NULL,"lấy ra, đưa ra, gửi",NULL,16,NULL,NULL
830,おろします［おかねを～］,NULL,rút [tiền],NULL,16,NULL,NULL
831,はいります［だいがくに～］,NULL,vào [đại học],NULL,16,NULL,NULL
832,でます［だいがくを～］,NULL,"ra, tốt nghiệp[đại học]",NULL,16,NULL,NULL
833,おします,NULL,"bấm, ấn",NULL,16,NULL,NULL
834,のみます,NULL,"uống (bia, rượu)",NULL,16,NULL,NULL
835,はじめます,NULL,bắt đầu,NULL,16,NULL,NULL
836,けんがくします,NULL,tham quan kiến tập,NULL,16,NULL,NULL
837,でんわします,NULL,gọi điện thoại,NULL,16,NULL,NULL
838,わかい,NULL,trẻ,NULL,16,NULL,NULL
839,ながい,NULL,dài,NULL,16,NULL,NULL
840,みじかい,NULL,ngắn,NULL,16,NULL,NULL
841,あかるい,NULL,sáng,NULL,16,NULL,NULL
842,くらい,NULL,tối,NULL,16,NULL,NULL
843,からだ,NULL,"người, cơ thể",NULL,16,NULL,NULL
844,あたま,NULL,đầu,NULL,16,NULL,NULL
845,かみ,NULL,tóc,NULL,16,NULL,NULL
846,かお,NULL,mặt,NULL,16,NULL,NULL
847,め,NULL,mắt,NULL,16,NULL,NULL
848,みみ,NULL,tai,NULL,16,NULL,NULL
849,はな,NULL,mũi,NULL,16,NULL,NULL
850,くち,NULL,miệng,NULL,16,NULL,NULL
851,は,NULL,răng,NULL,16,NULL,NULL
852,おなか,NULL,bụng,NULL,16,NULL,NULL
853,あし,NULL,chân,NULL,16,NULL,NULL
854,せ,NULL,chiều cao (cơ thể),NULL,16,NULL,NULL
855,サービス,NULL,dịch vụ,NULL,16,NULL,NULL
856,ジョギング,NULL,việc chạy bộ (～を します : chạy bộ),NULL,16,NULL,NULL
857,シャワー,NULL,vòi hoa sen,NULL,16,NULL,NULL
858,みどり,NULL,"màu xanh lá cây, cây xanh",NULL,16,NULL,NULL
859,［お］てら,NULL,chùa,NULL,16,NULL,NULL
860,じんじゃ,NULL,đền thờ đạo Thần,NULL,16,NULL,NULL
861,－ばん,NULL,số －,NULL,16,NULL,NULL
862,どうやって,NULL,làm thế nào ～,NULL,16,NULL,NULL
863,どの ～,NULL,～ nào (dùng đối với trường hợp từ ba thứ trở lên),NULL,16,NULL,NULL
864,どれ,NULL,cái nào (dùng trong trường hợp ba cái hoặc nhiều hơn),NULL,16,NULL,NULL
865,すごいですね。,NULL,Thật là tuyệt vời!/Kinh quá nhỉ!,NULL,16,NULL,NULL
866,［いいえ、］まだまだです。,NULL,"(Không), tôi còn phải cố gắng nhiều lắm. (cách nói khiêm nhường khi được ai đó khen)",NULL,16,NULL,NULL
867,おひきだしですか。,NULL,Anh/Chị rút tiền ạ?,NULL,16,NULL,NULL
868,まず,NULL,"trước hết, đầu tiên",NULL,16,NULL,NULL
869,つぎに,NULL,"tiếp theo, sau đó",NULL,16,NULL,NULL
870,キャッシュカード,NULL,"thẻ rút tiền mặt, thẻ ATM",NULL,16,NULL,NULL
871,あんしょうばんごう,NULL,mã số bí mật (mật khẩu),NULL,16,NULL,NULL
872,きんがく,NULL,"số tiền, khoản tiền",NULL,16,NULL,NULL
873,かくにん,NULL,"sự xác nhận, sự kiểm tra lại (～します : xác nhận)",NULL,16,NULL,NULL
874,ボタン,NULL,nút,NULL,16,NULL,NULL
875,JR,NULL,Công ty Đường sắt Nhật Bản,NULL,16,NULL,NULL
876,ゆきまつり,NULL,Lễ hội tuyết,NULL,16,NULL,NULL
877,バンドン,NULL,Bandung (ở In-đô-nê-xi-a),NULL,16,NULL,NULL
878,フランケン,NULL,Franken (ở Đức),NULL,16,NULL,NULL
879,ベラクルス,NULL,Veracruz (ở Mexico),NULL,16,NULL,NULL
880,うめだ,NULL,tên một quận ở Osaka,NULL,16,NULL,NULL
881,だいがくまえ,NULL,tên điểm dừng xe buýt giả định,NULL,16,NULL,NULL
882,やめます［かいしゃを～］,NULL,"bỏ, thôi [việc công ty]",NULL,16,NULL,NULL
883,せが たかい,NULL,cao (dùng cho người),NULL,16,NULL,NULL
884,あたまが いい,NULL,thông minh,NULL,16,NULL,NULL
885,りゅうがくせい,NULL,"lưu học sinh, du học sinh",NULL,16,NULL,NULL
886,アジア,NULL,châu Á,NULL,16,NULL,NULL
887,ベトナム,NULL,Việt Nam,NULL,16,NULL,NULL
888,フエ,NULL,Huế,NULL,16,NULL,NULL
889,おぼえます,NULL,nhớ,NULL,17,NULL,NULL
890,わすれます,NULL,quên,NULL,17,NULL,NULL
891,なくします,NULL,"làm mất, đánh mất",NULL,17,NULL,NULL
892,はらいます,NULL,trả tiền,NULL,17,NULL,NULL
893,かえします,NULL,trả lại,NULL,17,NULL,NULL
894,でかけます,NULL,ra ngoài,NULL,17,NULL,NULL
895,ぬぎます,NULL,"cởi (quần áo, giầy, v.v.)",NULL,17,NULL,NULL
896,もって いきます,NULL,"mang đi, mang theo",NULL,17,NULL,NULL
897,もって きます,NULL,mang đến,NULL,17,NULL,NULL
898,しんぱいします,NULL,lo lắng,NULL,17,NULL,NULL
899,ざんぎょうします,NULL,làm thêm giờ,NULL,17,NULL,NULL
900,しゅっちょうします,NULL,đi công tác,NULL,17,NULL,NULL
901,のみます［くすりを～］,NULL,uống [thuốc],NULL,17,NULL,NULL
902,はいります［おふろに～］,NULL,tắm bồn,NULL,17,NULL,NULL
903,たいせつ［な］,NULL,"quan trọng, quý giá",NULL,17,NULL,NULL
904,だいじょうぶ［な］,NULL,"không sao, không có vấn đề gì",NULL,17,NULL,NULL
905,あぶない,NULL,nguy hiểm,NULL,17,NULL,NULL
906,きんえん,NULL,cấm hút thuốc,NULL,17,NULL,NULL
907,［けんこう］ほけんしょう,NULL,thẻ bảo hiêm [y tế],NULL,17,NULL,NULL
908,ねつ,NULL,sốt,NULL,17,NULL,NULL
909,びょうき,NULL,"ốm, bệnh",NULL,17,NULL,NULL
910,くすり,NULL,thuốc,NULL,17,NULL,NULL
911,［お］ふろ,NULL,bồn tắm,NULL,17,NULL,NULL
912,うわぎ,NULL,áo khoác,NULL,17,NULL,NULL
913,したぎ,NULL,quần áo lót,NULL,17,NULL,NULL
914,２、３にち,NULL,"2, 3 ngày/vài ngày",NULL,17,NULL,NULL
915,２、３～,NULL,"2, 3 ～/vài ～ (""～"" là hậu tố đếm)",NULL,17,NULL,NULL
916,～までに,NULL,"trước ～, cho đến trước ～ (chỉ giới hạn thời gian)",NULL,17,NULL,NULL
917,ですから,NULL,"vì thế, vì vậy, do đó",NULL,17,NULL,NULL
918,どう しましたか。,NULL,Có vấn đề gì?/ Anh/Chị bị làm sao? (cách bác sĩ hỏi bệnh nhân),NULL,17,NULL,NULL
919,のど,NULL,họng,NULL,17,NULL,NULL
920,［～が］いたいです。,NULL,Tôi bị đau [～].,NULL,17,NULL,NULL
921,かぜ,NULL,"cảm, cúm",NULL,17,NULL,NULL
922,それから,NULL,"và, sau đó",NULL,17,NULL,NULL
923,おだいじに。,NULL,Anh/Chị nhớ giữ gìn sức khỏe. (câu nói với người bbij ốm hoặc bị bệnh),NULL,17,NULL,NULL
924,だします［レポートを～］,NULL,nộp [bản/bài báo cáo],NULL,17,NULL,NULL
925,もんだい,NULL,vấn đề,NULL,17,NULL,NULL
926,こたえ,NULL,câu trả lời,NULL,17,NULL,NULL
927,せんせい,NULL,bác sĩ (cách gọi bác sĩ),NULL,17,NULL,NULL
928,できます,NULL,có thể,NULL,18,NULL,NULL
929,あらいます,NULL,rửa,NULL,18,NULL,NULL
930,ひきます,NULL,"chơi (nhạc cụ, pianô, v.v.)",NULL,18,NULL,NULL
931,うたいます,NULL,hát,NULL,18,NULL,NULL
932,あつめます,NULL,"sưu tầm, thu thập, tập hợp",NULL,18,NULL,NULL
933,すてます,NULL,"vứt, bỏ, bỏ đi",NULL,18,NULL,NULL
934,かえます,NULL,"đổi, trao đổi",NULL,18,NULL,NULL
935,うんてんします,NULL,lái,NULL,18,NULL,NULL
936,よやくします,NULL,"đặt chỗ, đặt trước",NULL,18,NULL,NULL
937,ピアノ,NULL,đàn pianô,NULL,18,NULL,NULL
938,－メートル,NULL,－ mét,NULL,18,NULL,NULL
939,げんきん,NULL,tiền mặt,NULL,18,NULL,NULL
940,しゅみ,NULL,"sở thích, thú vui",NULL,18,NULL,NULL
941,にっき,NULL,nhật ký,NULL,18,NULL,NULL
942,おいのり,NULL,việc cầu nguyện (～を します : cầu nguyện),NULL,18,NULL,NULL
943,かちょう,NULL,tổ trưởng,NULL,18,NULL,NULL
944,ぶちょう,NULL,trưởng phòng,NULL,18,NULL,NULL
945,しゃちょう,NULL,giám đốc,NULL,18,NULL,NULL
946,どうぶつ,NULL,động vật,NULL,18,NULL,NULL
947,うま,NULL,ngựa,NULL,18,NULL,NULL
948,インターネット,NULL,"In-tơ-nét, Internet",NULL,18,NULL,NULL
949,とくに,NULL,đặc biệt là,NULL,18,NULL,NULL
950,へえ,NULL,Thế á! (dùng để biểu thị sự ngạc nhiên),NULL,18,NULL,NULL
951,それは おもしろいですね。,NULL,(Điều đấy/Cái đấy) hay thật nhỉ.,NULL,18,NULL,NULL
952,なかなか,NULL,"khó mà, mãi mà (dùng với thể phủ định)",NULL,18,NULL,NULL
953,ほんとうですか。,NULL,Thật không ạ?,NULL,18,NULL,NULL
954,ぜひ,NULL,nhất định,NULL,18,NULL,NULL
955,ふるさと,NULL,"Furusato (tên một bài hát có nghĩa là ""quê nhà"")",NULL,18,NULL,NULL
956,ビートルズ,NULL,Beatles (một ban nhạc nổi tiếng nước Anh),NULL,18,NULL,NULL
957,あきはばら,NULL,một quận ở Tokyo,NULL,18,NULL,NULL
958,けんがくします,NULL,thăm quan với mục đích học tập,NULL,18,NULL,NULL
959,こくさい～,NULL,～ quốc tế,NULL,18,NULL,NULL
960,ぼくじょう,NULL,trang trại chăn nuôi,NULL,18,NULL,NULL
961,のぼります,NULL,"leo (núi), lên",NULL,19,NULL,NULL
962,とまります［ホテルに～］,NULL,trọ [ở khách sạn],NULL,19,NULL,NULL
963,そうじします,NULL,dọn vệ sinh (căn phòng),NULL,19,NULL,NULL
964,せんたくします,NULL,giặt (áo quần),NULL,19,NULL,NULL
965,なります,NULL,"trở thành, trở nên",NULL,19,NULL,NULL
966,ねむい,NULL,buồn ngủ,NULL,19,NULL,NULL
967,つよい,NULL,mạnh,NULL,19,NULL,NULL
968,よわい,NULL,yếu,NULL,19,NULL,NULL
969,れんしゅう,NULL,sự luyện tập (～［を］します : luyện tập),NULL,19,NULL,NULL
970,ゴルフ,NULL,gôn (～を します : chơi gôn),NULL,19,NULL,NULL
971,すもう,NULL,môn vật Sumo (～を します : đấu vật Sumo),NULL,19,NULL,NULL
972,おちゃ,NULL,trà đạo,NULL,19,NULL,NULL
973,ひ,NULL,ngày,NULL,19,NULL,NULL
974,ちょうし,NULL,"tình trạng, trạng thái",NULL,19,NULL,NULL
975,いちど,NULL,một lần,NULL,19,NULL,NULL
976,いちども,NULL,"chưa lần nào, chưa bao giờ (dùng với thể phủ định)",NULL,19,NULL,NULL
977,だんだん,NULL,dần dần,NULL,19,NULL,NULL
978,もうすぐ,NULL,"sắp, sắp sửa",NULL,19,NULL,NULL
979,おかげさまで,NULL,"Cảm ơn anh/chị, nhờ anh/chị mà ～. (dùng để bày tỏ sự cảm ơn khi nhận được sự giúp đỡ của ai đó)",NULL,19,NULL,NULL
980,でも,NULL,nhưng,NULL,19,NULL,NULL
981,かんぱい,NULL,Cạn chén!/Nâng cốc!,NULL,19,NULL,NULL
982,ダイエット,NULL,"việc ăn kiêng, chế độ giảm cân (～を します : ăn kiêng)",NULL,19,NULL,NULL
983,むり［な］,NULL,"không thể, quá sức",NULL,19,NULL,NULL
984,からだに いい,NULL,tốt cho sức khỏe,NULL,19,NULL,NULL
985,とうきょうスカイツリー,NULL,Tokyo Sky Tree (tháp truyền hình có đài ngắm cảnh ở Tokyo),NULL,19,NULL,NULL
986,かつしかほくさい,NULL,một họa sĩ nổi tiếng thời Edo (1760-1849),NULL,19,NULL,NULL
987,ちょうしが いい,NULL,trong tình trạng tốt,NULL,19,NULL,NULL
988,ちょうしが わるい,NULL,trong tình trạng xấu,NULL,19,NULL,NULL
989,パチンコ,NULL,trò chơi pachinko (～を します : chơi trò chơi pachinko),NULL,19,NULL,NULL
990,じつは,NULL,thật ra là/sự tình là,NULL,19,NULL,NULL
991,なんかいも,NULL,nhiều lần,NULL,19,NULL,NULL
992,しかし,NULL,"nhưng, tuy nhiên",NULL,19,NULL,NULL
993,ケーキ,NULL,"bánh ga-tô, bánh ngọt",NULL,19,NULL,NULL
994,いります［ビザが～］,NULL,cần [thị thực/visa],NULL,20,NULL,NULL
995,しらべます,NULL,"tìm hiểu, kiểm tra, điều tra",NULL,20,NULL,NULL
996,しゅうりします,NULL,"sửa chữa, tu sửa",NULL,20,NULL,NULL
997,ぼく,NULL,"tôi, tớ (cách xưng thân mật của わたし được dùng bởi nam giới)",NULL,20,NULL,NULL
998,きみ,NULL,"cậu, bạn (cách nói thân mật của あなた được dùng cho người ngang hàng hoặc ít tuổi hơn)",NULL,20,NULL,NULL
999,～くん,NULL,"anh ～, cậu ～ (cách nói thân mật của ～さん được dùng cho người ngang hàng hoặc ít tuổi hơn; thường được dùng sau tên bé trai)",NULL,20,NULL,NULL
1000,うん,NULL,ừ (cách nói thân mật của はい),NULL,20,NULL,NULL
1001,ううん,NULL,không (cách nói thân mật của いいえ),NULL,20,NULL,NULL
1002,ことば,NULL,"từ, tiếng",NULL,20,NULL,NULL
1003,きもの,NULL,kimono (trang phục truyền thống của Nhật Bản),NULL,20,NULL,NULL
1004,ビザ,NULL,"thị thực, visa",NULL,20,NULL,NULL
1005,はじめ,NULL,"ban đầu, đầu tiên",NULL,20,NULL,NULL
1006,おわり,NULL,"kết thúc, hết phim",NULL,20,NULL,NULL
1007,こっち,NULL,"phía này, chỗ này (cách nói thân mật của こちら)",NULL,20,NULL,NULL
1008,そっち,NULL,"phía đó, chỗ đó (cách nói thân mật của そちら)",NULL,20,NULL,NULL
1009,あっち,NULL,"phía kia, chỗ kia (cách nói thân mật của あちら)",NULL,20,NULL,NULL
1010,どっち,NULL,"cái nào (giữa hai cái), phía nào, đâu (cách nói thân mật của どちら)",NULL,20,NULL,NULL
1011,みんなで,NULL,mọi người cùng,NULL,20,NULL,NULL
1012,～けど,NULL,"～, nhưng (cách nói thân mật của が)",NULL,20,NULL,NULL
1013,おなかが いっぱいです,NULL,(Tôi) no rồi,NULL,20,NULL,NULL
1014,よかったら,NULL,nếu anh/chị thích thì,NULL,20,NULL,NULL
1015,いろいろ,NULL,nhiều thứ,NULL,20,NULL,NULL
1016,なおします,NULL,"sửa, chữa",NULL,20,NULL,NULL
1017,でんわします,NULL,gọi điện thoại,NULL,20,NULL,NULL
1018,サラリーマン,NULL,người làm việc cho các công ty,NULL,20,NULL,NULL
1019,ぶっか,NULL,"giá cả, mức giá, vật giá",NULL,20,NULL,NULL
1020,このあいだ,NULL,"vừa rồi, hôm nọ",NULL,20,NULL,NULL
1021,くにへ かえるの？,NULL,Anh/Chị có về nước không?,NULL,20,NULL,NULL
1022,どう するの？,NULL,Anh/Chị tính sao?/ Anh/Chị (sẽ) làm gì?,NULL,20,NULL,NULL
1023,どう しようかな。,NULL,Tính sao đây nhỉ?/ Để tôi xem.,NULL,20,NULL,NULL
1024,おもいます,NULL,nghĩ,NULL,21,NULL,NULL
1025,いいます,NULL,nói,NULL,21,NULL,NULL
1026,かちます,NULL,thắng,NULL,21,NULL,NULL
1027,まけます,NULL,thua,NULL,21,NULL,NULL
1028,あります［おまつりが～］,NULL,"[lễ hội] được tổ chức, diễn ra",NULL,21,NULL,NULL
1029,やくに たちます,NULL,"hữu ích, giúp ích",NULL,21,NULL,NULL
1030,うごきます,NULL,"chuyển động, chạy",NULL,21,NULL,NULL
1031,やめます［かいしゃを～］,NULL,"bỏ, thôi [việc công ty]",NULL,21,NULL,NULL
1032,きを つけます,NULL,"chú ý, bảo trọng",NULL,21,NULL,NULL
1033,りゅうがくします,NULL,du học,NULL,21,NULL,NULL
1034,むだ［な］,NULL,"lãng phí, vô ích",NULL,21,NULL,NULL
1035,ふべん［な］,NULL,bất tiện,NULL,21,NULL,NULL
1036,すごい,NULL,"ghê quá, giỏi quá (dùng để bày tỏ sự ngạc nhiên hoặc thán phục)",NULL,21,NULL,NULL
1037,ほんとう,NULL,sự thật,NULL,21,NULL,NULL
1038,うそ,NULL,"sự giả dối, giả dối",NULL,21,NULL,NULL
1039,じどうしゃ,NULL,"ô tô, xe hơi",NULL,21,NULL,NULL
1040,こうつう,NULL,"giao thông, đi lại",NULL,21,NULL,NULL
